"Round","Type Number","Type Name","Statement #","Format / Prompt","Current Statement","Updated Version (your edits)"
"R2 — Rank order","6","The Loyalist","1","Rank from most to least true (stem: ""I value..."")","I value loyalty, reliability, and being prepared for what's ahead.",""
"R2 — Rank order","6","The Loyalist","2","Rank from most to least true (stem: ""I value..."")","I value trust, security, and having people I can count on.",""
"R2 — Rank order","6","The Loyalist","3","Rank from most to least true (stem: ""I value..."")","I value commitment and knowing where I stand with others.",""
"R2 — Rank order","6","The Loyalist","4","Rank from most to least true (stem: ""I value..."")","I value anticipating risks and being ready for challenges before they arise.",""
"R2 — Rank order","6","The Loyalist","5","Rank from most to least true (stem: ""I value..."")","I value dependable relationships and clear expectations.",""
"R2 — Rank order","7","The Enthusiast","1","Rank from most to least true (stem: ""I value..."")","I value freedom, variety, and staying open to new experiences.",""
"R2 — Rank order","7","The Enthusiast","2","Rank from most to least true (stem: ""I value..."")","I value excitement, creativity, and keeping life spontaneous.",""
"R2 — Rank order","7","The Enthusiast","3","Rank from most to least true (stem: ""I value..."")","I value joy, possibility, and the freedom to explore.",""
"R2 — Rank order","7","The Enthusiast","4","Rank from most to least true (stem: ""I value..."")","I value keeping my options open and not being tied down.",""
"R2 — Rank order","7","The Enthusiast","5","Rank from most to least true (stem: ""I value..."")","I value stimulating ideas and the thrill of what's coming next.",""
"R2 — Rank order","8","The Challenger","1","Rank from most to least true (stem: ""I value..."")","I value strength, directness, and the ability to act decisively.",""
"R2 — Rank order","8","The Challenger","2","Rank from most to least true (stem: ""I value..."")","I value honesty, courage, and protecting what matters to me.",""
"R2 — Rank order","8","The Challenger","3","Rank from most to least true (stem: ""I value..."")","I value self-reliance, resilience, and not being controlled by others.",""
"R2 — Rank order","8","The Challenger","4","Rank from most to least true (stem: ""I value..."")","I value being in control of my own decisions and resources.",""
"R2 — Rank order","8","The Challenger","5","Rank from most to least true (stem: ""I value..."")","I value taking charge and standing up for what I believe in.",""
"R2 — Rank order","9","The Peacemaker","1","Rank from most to least true (stem: ""I value..."")","I value peace, harmony, and a sense of inner calm.",""
"R2 — Rank order","9","The Peacemaker","2","Rank from most to least true (stem: ""I value..."")","I value acceptance, stability, and keeping relationships smooth.",""
"R2 — Rank order","9","The Peacemaker","3","Rank from most to least true (stem: ""I value..."")","I value going with the flow and finding common ground.",""
"R2 — Rank order","9","The Peacemaker","4","Rank from most to least true (stem: ""I value..."")","I value being easy to be around and not creating unnecessary conflict.",""
"R2 — Rank order","9","The Peacemaker","5","Rank from most to least true (stem: ""I value..."")","I value comfort, consistency, and a life free from tension.",""
"R3 — Forced choice","1","The Reformer","1","What's more important to me is... [completion]","to be good, ethical, and beyond reproach",""
"R3 — Forced choice","1","The Reformer","2","What's more important to me is... [completion]","to do things the right way and correct what's wrong",""
"R3 — Forced choice","1","The Reformer","3","What's more important to me is... [completion]","to live with integrity and maintain my principles",""
"R3 — Forced choice","1","The Reformer","4","What's more important to me is... [completion]","to improve myself and the world around me",""
"R3 — Forced choice","1","The Reformer","5","What's more important to me is... [completion]","to be responsible and never compromise my values",""
"R3 — Forced choice","2","The Helper","1","What's more important to me is... [completion]","to be loved and feel indispensable to others",""
"R3 — Forced choice","2","The Helper","2","What's more important to me is... [completion]","to be needed and to express love through giving",""
"R3 — Forced choice","2","The Helper","3","What's more important to me is... [completion]","to feel appreciated for how much I care",""
"R3 — Forced choice","2","The Helper","4","What's more important to me is... [completion]","to be close to the people I love and feel their affection",""
"R3 — Forced choice","2","The Helper","5","What's more important to me is... [completion]","to make others feel good and know I matter to them",""
"R3 — Forced choice","3","The Achiever","1","What's more important to me is... [completion]","to be admired and seen as successful",""
"R3 — Forced choice","3","The Achiever","2","What's more important to me is... [completion]","to accomplish meaningful things and be recognized for them",""
"R3 — Forced choice","3","The Achiever","3","What's more important to me is... [completion]","to win, excel, and prove my worth through results",""
"R3 — Forced choice","3","The Achiever","4","What's more important to me is... [completion]","to be valued for what I achieve and how I perform",""
"R3 — Forced choice","3","The Achiever","5","What's more important to me is... [completion]","to feel effective and be respected by others",""
"R3 — Forced choice","4","The Individualist","1","What's more important to me is... [completion]","to be truly known and understood as I am",""
"R3 — Forced choice","4","The Individualist","2","What's more important to me is... [completion]","to express my unique identity and be seen in my depth",""
"R3 — Forced choice","4","The Individualist","3","What's more important to me is... [completion]","to feel that my life has beauty, meaning, and significance",""
"R3 — Forced choice","4","The Individualist","4","What's more important to me is... [completion]","to connect with something rare and emotionally profound",""
"R3 — Forced choice","4","The Individualist","5","What's more important to me is... [completion]","to be authentic and belong without losing myself",""
"R3 — Forced choice","5","The Investigator","1","What's more important to me is... [completion]","to feel capable and self-sufficient",""
"R3 — Forced choice","5","The Investigator","2","What's more important to me is... [completion]","to understand the world and protect my inner resources",""
"R3 — Forced choice","5","The Investigator","3","What's more important to me is... [completion]","to have enough knowledge and space to feel secure",""
"R3 — Forced choice","5","The Investigator","4","What's more important to me is... [completion]","to think clearly without being pulled into others' emotions",""
"R3 — Forced choice","5","The Investigator","5","What's more important to me is... [completion]","to be competent and maintain my independence",""
"R3 — Forced choice","6","The Loyalist","1","What's more important to me is... [completion]","to feel safe, supported, and certain about what to expect",""
"R3 — Forced choice","6","The Loyalist","2","What's more important to me is... [completion]","to find people and systems I can truly trust",""
"R3 — Forced choice","6","The Loyalist","3","What's more important to me is... [completion]","to be prepared for whatever might go wrong",""
"R3 — Forced choice","6","The Loyalist","4","What's more important to me is... [completion]","to feel a sense of belonging in a reliable community",""
"R3 — Forced choice","6","The Loyalist","5","What's more important to me is... [completion]","to have guidance and know I won't be abandoned",""
"R3 — Forced choice","7","The Enthusiast","1","What's more important to me is... [completion]","to stay free, stimulated, and open to what's next",""
"R3 — Forced choice","7","The Enthusiast","2","What's more important to me is... [completion]","to avoid pain and keep experiencing joy and possibility",""
"R3 — Forced choice","7","The Enthusiast","3","What's more important to me is... [completion]","to never feel trapped, limited, or cut off from options",""
"R3 — Forced choice","7","The Enthusiast","4","What's more important to me is... [completion]","to be fully alive — curious, playful, and expansive",""
"R3 — Forced choice","7","The Enthusiast","5","What's more important to me is... [completion]","to pursue happiness and resist anything that constrains me",""
"R3 — Forced choice","8","The Challenger","1","What's more important to me is... [completion]","to be strong and never be controlled by others",""
"R3 — Forced choice","8","The Challenger","2","What's more important to me is... [completion]","to protect myself and those I care about from harm",""
"R3 — Forced choice","8","The Challenger","3","What's more important to me is... [completion]","to have power over my own life and decisions",""
"R3 — Forced choice","8","The Challenger","4","What's more important to me is... [completion]","to be respected for my strength and directness",""
"R3 — Forced choice","8","The Challenger","5","What's more important to me is... [completion]","to face challenges head-on and never back down",""
"R3 — Forced choice","9","The Peacemaker","1","What's more important to me is... [completion]","to have inner peace and avoid conflict at all costs",""
"R3 — Forced choice","9","The Peacemaker","2","What's more important to me is... [completion]","to feel connected and accepted without having to fight for it",""
"R3 — Forced choice","9","The Peacemaker","3","What's more important to me is... [completion]","to maintain harmony and keep things calm around me",""
"R3 — Forced choice","9","The Peacemaker","4","What's more important to me is... [completion]","to feel settled, comfortable, and free from tension",""
"R3 — Forced choice","9","The Peacemaker","5","What's more important to me is... [completion]","to be at ease with myself and with those around me",""
